Fiyat,Lokasyon,m2,Oda,Tarih
21.000 TL,AtakumMimarsinan Mah.,60,1+1,24 Aralık  2025
12.500 TL,KöylerBüyükoyumca Mh.,110,2+1,24 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,70,2+1,24 Aralık  2025
21.500 TL,KurupelitKörfez Mh.,90,2+1,24 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
24.000 TL,AtakumYeşildere Mh.,145,3+1,24 Aralık  2025
35.000 TL,KöylerÇobanözü Mh.,100,2+1,24 Aralık  2025
21.000 TL,AtakentAtakent Mh.,58,1+1,24 Aralık  2025
16.000 TL,KöylerBüyükoyumca Mh.,135,3+1,24 Aralık  2025
12.000 TL,AtakumMevlana Mah.,55,1+1,24 Aralık  2025
30.500 TL,KurupelitKörfez Mh.,145,3+1,23 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,60,1+1,24 Aralık  2025
22.000 TL,KöylerBüyükoyumca Mh.,140,3+1,23 Aralık  2025
14.250 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
25.000 TL,Atakumİstiklal Mh.,100,2+1,23 Aralık  2025
40.000 TL,KurupelitKörfez Mh.,130,3+1,23 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,55,1+1,23 Aralık  2025
16.500 TL,KöylerBalaç Mh.,100,2+1,23 Aralık  2025
20.000 TL,AtakumBeypınar Mh.,114,2+1,23 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
32.000 TL,AtakumBeypınar Mh.,200,4+1,23 Aralık  2025
19.750 TL,AtakentYenimahalle Mah.,130,3+1,23 Aralık  2025
22.000 TL,AtakumMevlana Mah.,60,1+1,23 Aralık  2025
14.500 TL,Altınkumİncesu Yalı Mh.,55,1+1,23 Aralık  2025
22.000 TL,AtakumMevlana Mah.,50,1+1,23 Aralık  2025
19.000 TL,AtakentYenimahalle Mah.,85,2+1,23 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,60,1+1,23 Aralık  2025
23.000 TL,AtakumMimarsinan Mah.,140,3+1,23 Aralık  2025
18.000 TL,AtakumCumhuriyet Mah.,120,3+1,23 Aralık  2025
15.000 TL,AtakumEsenevler Mah.,115,2+1,23 Aralık  2025
15.000 TL,AtakumEsenevler Mah.,115,2+1,23 Aralık  2025
17.500 TL,KöylerBüyükoyumca Mh.,90,2+1,23 Aralık  2025
15.000 TL,Atakumİstiklal Mh.,55,1+1,23 Aralık  2025
11.500 TL,KurupelitKörfez Mh.,52,1+1,23 Aralık  2025
16.500 TL,AtakentYenimahalle Mah.,60,1+1,24 Aralık  2025
18.000 TL,AtakumEsenevler Mah.,140,3+1,23 Aralık  2025
21.000 TL,AtakumMevlana Mah.,85,2+1,23 Aralık  2025
20.000 TL,AtakumMevlana Mah.,60,1+1,24 Aralık  2025
27.000 TL,KurupelitKörfez Mh.,85,2+1,23 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,170,3+1,23 Aralık  2025
9.000 TL,AtakentAtakent Mh.,50,1+1,24 Aralık  2025
11.750 TL,KöylerKüçükkolpınar Mh.,50,1+1,23 Aralık  2025
17.500 TL,AtakentYenimahalle Mah.,120,3+1,24 Aralık  2025
37.500 TL,Atakumİstiklal Mh.,190,4+1,24 Aralık  2025
11.000 TL,AtakumMevlana Mah.,45,1+1,23 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,45,1+1,24 Aralık  2025
30.000 TL,AtakumMimarsinan Mah.,150,3+1,23 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
15.000 TL,AtakumEsenevler Mah.,45,1+1,23 Aralık  2025
18.000 TL,AtakentYenimahalle Mah.,60,1+1,23 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,47,1+1,23 Aralık  2025
30.000 TL,AtakentAtakent Mh.,185,3+1,23 Aralık  2025
16.500 TL,Atakumİstiklal Mh.,65,1+1,23 Aralık  2025
22.000 TL,KurupelitKörfez Mh.,140,3+1,23 Aralık  2025
23.500 TL,Atakumİstiklal Mh.,140,3+1,23 Aralık  2025
14.000 TL,AtakumMevlana Mah.,55,1+1,24 Aralık  2025
40.500 TL,KöylerKüçükkolpınar Mh.,220,4+1,23 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,95,2+0,23 Aralık  2025
123.456 TL,AtakumÇakırlar Yalı Mh.,980,6+1,23 Aralık  2025
22.000 TL,KöylerBüyükoyumca Mh.,130,2+1,24 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,100,2+1,23 Aralık  2025
12.000 TL,AtakentYenimahalle Mah.,50,1+1,23 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,140,3+1,23 Aralık  2025
25.000 TL,KurupelitKörfez Mh.,85,2+1,24 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
13.000 TL,Atakumİstiklal Mh.,55,1+1,23 Aralık  2025
24.000 TL,AtakentAtakent Mh.,135,2+1,23 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,50,1+1,23 Aralık  2025
24.000 TL,AtakumBeypınar Mh.,120,2+1,23 Aralık  2025
33.000 TL,KöylerBalaç Mh.,170,4+1,23 Aralık  2025
20.000 TL,AtakumEsenevler Mah.,90,2+1,23 Aralık  2025
15.250 TL,AtakentYenimahalle Mah.,50,1+1,23 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,60,1+1,23 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,23 Aralık  2025
26.000 TL,AtakumEsenevler Mah.,155,3+1,24 Aralık  2025
10.250 TL,AtakentAtatepe,45,1+1,24 Aralık  2025
18.500 TL,AtakumCumhuriyet Mah.,110,2+1,16 Aralık  2025
20.000 TL,AtakumDenizevleri Mah.,108,3+1,23 Aralık  2025
26.000 TL,AtakentYenimahalle Mah.,80,2+1,23 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,45,1+1,23 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,50,1+1,23 Aralık  2025
15.500 TL,AtakumCumhuriyet Mah.,110,2+1,23 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,50,1+1,24 Aralık  2025
16.500 TL,AtakentYenimahalle Mah.,65,1+1,23 Aralık  2025
21.000 TL,Altınkumİncesu Yalı Mh.,110,2+1,23 Aralık  2025
10.000 TL,Altınkumİncesu Yalı Mh.,50,1+1,23 Aralık  2025
26.500 TL,KurupelitKörfez Mh.,95,2+1,24 Aralık  2025
33.000 TL,AtakentYenimahalle Mah.,180,4+1,23 Aralık  2025
19.000 TL,KöylerBüyükoyumca Mh.,55,1+1,24 Aralık  2025
27.000 TL,KöylerBalaç Mh.,155,3+1,23 Aralık  2025
19.450 TL,KurupelitKörfez Mh.,56,1+1,23 Aralık  2025
12.000 TL,AtakentYenimahalle Mah.,65,1+1,24 Aralık  2025
20.000 TL,AtakumMimarsinan Mah.,150,3+1,23 Aralık  2025
14.250 TL,KöylerBüyükoyumca Mh.,115,3+1,24 Aralık  2025
23.000 TL,AtakumMevlana Mah.,100,2+1,23 Aralık  2025
17.000 TL,AtakentAtakent Mh.,70,1+1,23 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,58,1+1,23 Aralık  2025
30.000 TL,AtakentAtakent Mh.,150,3+1,23 Aralık  2025
17.000 TL,AtakumCumhuriyet Mah.,120,2+1,23 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,51,1+1,23 Aralık  2025
30.000 TL,KurupelitKörfez Mh.,165,3+1,23 Aralık  2025
27.500 TL,AtakumYeşildere Mh.,110,2+1,22 Aralık  2025
14.750 TL,Atakumİstiklal Mh.,62,1+1,22 Aralık  2025
31.000 TL,KurupelitKörfez Mh.,150,3+1,25 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,49,1+1,22 Aralık  2025
18.000 TL,AtakumEsenevler Mah.,95,2+1,22 Aralık  2025
25.500 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,55,1+1,24 Aralık  2025
31.000 TL,AtakentYenimahalle Mah.,80,2+1,22 Aralık  2025
30.000 TL,AtakumMimarsinan Mah.,165,3+1,25 Aralık  2025
15.500 TL,AtakumMimarsinan Mah.,130,3+1,22 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,65,1+1,22 Aralık  2025
31.000 TL,AtakentYenimahalle Mah.,80,2+1,22 Aralık  2025
30.000 TL,AtakumMimarsinan Mah.,165,3+1,25 Aralık  2025
15.500 TL,AtakumMimarsinan Mah.,130,3+1,22 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,65,1+1,22 Aralık  2025
30.000 TL,KöylerÇobanlı Mh.,140,3+1,22 Aralık  2025
19.000 TL,AtakentYenimahalle Mah.,115,2+1,22 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,90,2+1,23 Aralık  2025
10.750 TL,Atakumİstiklal Mh.,55,1+1,22 Aralık  2025
15.750 TL,AtakentYenimahalle Mah.,60,1+1,22 Aralık  2025
19.000 TL,AtakumEsenevler Mah.,140,3+1,22 Aralık  2025
29.000 TL,KurupelitKörfez Mh.,75,1+1,23 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
60.000 TL,KöylerBüyükkolpınar Mh.,200,2.5+1,22 Aralık  2025
17.000 TL,AtakumMimarsinan Mah.,100,3+1,22 Aralık  2025
50.000 TL,KurupelitKörfez Mh.,75,1+1,22 Aralık  2025
18.000 TL,KöylerBüyükkolpınar Mh.,65,1+1,22 Aralık  2025
20.000 TL,AtakumMevlana Mah.,60,1+1,24 Aralık  2025
11.500 TL,KurupelitKörfez Mh.,60,1+1,23 Aralık  2025
21.000 TL,AtakumCumhuriyet Mah.,60,1+1,22 Aralık  2025
